Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Honda,Ridgeline RTL,New,"$46,370",4.8,9,Platinum White Pearl,Beige,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB011817,830164,10,5,4.8,4.8,4.2,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,150",1.7,24,Platinum White Pearl,Black,FWD,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H5XPH702953,6402953,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,245",4.7,2869,Meteorite Gray Metallic,Black,Front-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH704805,PH704805,1,5,3,4,4,5,5,CA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500",5,12,Sonic Gray Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H82NB100429,5700429B,5,5,5,5,5,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,395",4.4,12,Crystal Black Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH805954,5705954,5,5,3,4,4,5,5,CA,Dealer
2023,Honda,Odyssey EX-L,New,"$42,250",4.4,12,Pacific Pewter Metallic,Mocha,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H67PB024270,5724270,5,5,5,4,4,4,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,090",4.4,12,Urban Gray Pearl,Black,FWD,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H56PH703596,5703596A,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845",1.2,70,Crystal Black Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH805315,2905315X,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",1.2,70,Platinum White Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800573,2900573X,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,700",1.2,70,Urban Gray Pearl,Black,FWD,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H54PH703791,2903791,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850",1.2,70,Still Night Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H91PE003271,2903271X,–,5,3,4,4,5,5,CA,Dealer
2023,Honda,Pilot Elite,New,"$53,375",1.2,70,Modern Steel Metallic,Black,AWD,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H83PB005557,30444,–,,,,,,,CA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,600",5,333,Dark Cherry Pearl,Beige,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB087120,78543,3,5,5,5,5,5,5,NV,Dealer
